"id","name","description","module","action","createdAt","subcategoryId","key"
"cm901df5c0009tlu04joykfn5","Generate Salary of subordinates.","This permission has power of generate salary of subordinates of current user.",,"Generate","2025-04-02 14:42:36.843","cm900kbpz000op8wyhadh5wot","generate_salary_of_subordinates"
"cm901egth000btlu0r0un3wgh","View Salary Slip of Subordinates","This permission has power to view all subordinates salary slip of current user.",,"View","2025-04-02 14:43:25.657","cm900kbpz000op8wyhadh5wot","view_salary_slip_of_subordinates"
"cm901n5jb000ftlu03co7iobe","Generate Salary of Myself.","This permission has power of generate salary of that user itself.",,"Generate","2025-04-02 14:50:10.947","cm901ildq000dtlu0d2wzdurc","generate_salary_to_myself"
"cm901o2x1000htlu0fmu142wp","View Salary Slip of Myself","This permission has power of view salary slip of that user itself.",,"View","2025-04-02 14:50:53.596","cm901ildq000dtlu0d2wzdurc","view_salary_slip_to_myself"
"cm901owfi000jtlu0r5bxgwfc","Send Salary to Myself","This permission has power of sending salary to that user itself.",,"Send","2025-04-02 14:51:32.457","cm901ildq000dtlu0d2wzdurc","send_salary_to_myself"
"cm94dxkpy0004tl8szm8pmo5n","Able to create New Department","This permission will give access to create new department.",,"create","2025-04-05 15:45:14.249","cm94c1g6o0002tl8sktjdann6","create_new_department"
"cm94f24vb0006tl8sc6hyxp76","Able to delete Department","This permission will give access to delete department.",,"delete","2025-04-05 16:16:49.635","cm94c1g6o0002tl8sktjdann6","delete_department"
"cm94f6s6o0008tl8sy8916l7s","Able to Edit Department","This permission will give access to edit department.",,"edit","2025-04-05 16:20:26.477","cm94c1g6o0002tl8sktjdann6","edit_department"
"cm9a3x1sd0001tl0sz8ti4tx2","Able to view Organization Basic Details","This permission will give access to view organization basic details.",,"view","2025-04-09 15:51:32.587","cm8aa77w7000lp8v4qe1upt95","view_organization_basic_details"
"cm9a4bl6m0003tl0sgi9yqyuf","Able to View Team Details","This permission will give access to view his/her own Team's  details in organization tab.",,"View","2025-04-09 16:02:51.01","cm8aa77w7000lp8v4qe1upt95","see_team_details"
"cm9a4f8u60005tl0s031p4kb2","Able to View Own Department's Info","This permission will give access to view his/her own department info.",,"View","2025-04-09 16:05:42.589","cm8aa77w7000lp8v4qe1upt95","view_own_department_info"
"cm9a4i53j0007tl0sbuxhiqqy","Able to View Detailed Organization Info","This permission will give access to view detailed organization insight.",,"View","2025-04-09 16:07:57.706","cm8aa77w7000lp8v4qe1upt95","view_organization_detailed_info"
"cm9a4x0rb0009tl0s4yn7iybp","Able to View All Department's list","This permission will give access to view list of department existed in the organization.",,"View","2025-04-09 16:19:30.84","cm8aa77w7000lp8v4qe1upt95","view_list_of_department"
"cm9a5o9lf000btl0s8ycbc39n","View Every Department info","This permission give access to view all department's info.",,"view","2025-04-09 16:40:42.136","cm8aa77w7000lp8v4qe1upt95","view_all_department_info"
"cm9a64z1n000dtl0s3gyl16qo","View All Users in Organization","This permission give access to view all user existed in the organization.",,"view","2025-04-09 16:53:41.67","cm8aa77w7000lp8v4qe1upt95","view_all_users"
"cm9bnmwst0001tl2c9u5mazy1","View Employment Information of All User","This permission will allow to see all users employment information.",,"view","2025-04-10 17:51:19.181","cm9bl06q9000ctl1wp0mxw6tk","view_employment_info_of_all"
"cm9bnunin0003tl2c8eycgh9g","View Employment Information of Subordinates","This permission will allow to see all subordinate's employment information.",,"view","2025-04-10 17:57:19.436","cm9bl06q9000ctl1wp0mxw6tk","view_employment_info_of_subordinates"
"cm9bofjuu0005tl2cswg20cjm","View Employment Information to Myself","This permission will allow to see employment information to that user.",,"view","2025-04-10 18:13:34.365","cm9bl06q9000ctl1wp0mxw6tk","view_employment_info_to_myself"
"cm9d060hd0001tlw8uv8t3dbl","View Personal Information to Myself","This permission will allow to see personal information to that user.",,"view","2025-04-11 16:29:50.946","cm9bl06q9000ctl1wp0mxw6tk","view_personal_info_to_myself"
"cm9d0cnwi0005tlw8dbnv7i0v","View Personal Information of All User","This permission will allow to see personal information of all user.",,"view","2025-04-11 16:35:02.208","cm9bl06q9000ctl1wp0mxw6tk","view_personal_info_of_all"
"cm9d0vqpb0017tlw813dpv16o","View Personal Information of Subordinates","This permission will allow to see all subordinate's personal information.",,"view","2025-04-11 16:49:52.297","cm9bl06q9000ctl1wp0mxw6tk","view_personal_info_of_subordinates"
"cm9dp72kk0004tl5oh63hpcwy","Assign User to Own Lead Department","This permission will help you to assign user on your own lead department. ",,"create","2025-04-12 04:10:30.779","cm94c1g6o0002tl8sktjdann6","assign_user_to_own_lead_department"
"cm9dp9trj0006tl5oarlnlf02","Assign User to All Department ","This permission will grant you to assign user to all exisiting department.",,"create","2025-04-12 04:12:40.236","cm94c1g6o0002tl8sktjdann6","assign_user_to_all_department"
"cm9dptdkh0008tl5oc9mffpuu","View Employee Management","This permission will give access to view employee management.",,"view","2025-04-12 04:27:51.385","cm9dozplf0002tl5oncrfrn7g","view_employee_management"
"cm9dvm9n10006tlfk9bm64nc1","Change Department Head","This permission will give access to change department.",,"edit","2025-04-12 07:10:18.361","cm94c1g6o0002tl8sktjdann6","change_department_head"
"cm9dvxbvg0004tl9s3cqtjw0e","Holiday Manage","This permission will give access to manage holiday.",,"edit","2025-04-12 07:18:54.49","cm9dvwr0t0002tl9swglzrg9g","holiday_manage"
"cm9dvxurc0006tl9seo56p7g0","Holiday View","This permission will access to view holiday.",,"view","2025-04-12 07:19:18.965","cm9dvwr0t0002tl9swglzrg9g","holiday_view"
"cm9e58b990006tl5kc05irkn5","View Leave Balance","This will hold access control of User to view leave balance.",,"view","2025-04-12 11:39:23.421","cm9e57bc10004tl5ky2h31nq0","view_leave_balance"
"cm9ec5sow0007tlgs9tobv7ms","Update Personal Details By Own","This permission will allow you to edit personal details.",,"Update","2025-04-12 14:53:23.388","cm9ec2nz90005tlgsgn51xhis","update_personal_info"
"cm9ec7yqz0009tlgs1udru2aj","Update Personal Details of Subordinates","This will hold access control of user to update Personal Details of subordinates.",,"Update","2025-04-12 14:55:04.551","cm9bl06q9000ctl1wp0mxw6tk","update_personal_info_subordinates"
"cm9ecah6c000btlgsn1zoeyrh","Update Personal Details of All User","This permission will give access to personal details of all user.",,"Update","2025-04-12 14:57:01.212","cm9bl06q9000ctl1wp0mxw6tk","update_personal_info_all_user"
"cm9ecbpnt000dtlgsaxmmej7u","Update Employee Details of All User","This permission will give access to Employee details of all user.",,"Update","2025-04-12 14:57:59.392","cm9bl06q9000ctl1wp0mxw6tk","update_employee_info_all_user"
"cm9ecddwy000ftlgsvkfy20yt","Update Employee Details of Subordinates","This permission will give access to update employee details of subordinates.",,"update","2025-04-12 14:59:17.485","cm9bl06q9000ctl1wp0mxw6tk","update_personal_info_subordinates"
